"x","y"
0,0
0,3.83203e-05
0,3.8344e-05
1e-10,3.8344e-05
2.35e-10,3.8344e-05
4.1725e-10,3.8344e-05
6.63288e-10,3.8344e-05
9.95438e-10,3.8344e-05
1.44384e-09,3.8344e-05
2.04919e-09,3.8344e-05
2.8664e-09,3.8344e-05
3.96964e-09,3.8344e-05
5e-09,3.8344e-05
5.0625e-09,1.00747
5.14688e-09,4.92376
5.20383e-09,6.46704
5.24227e-09,6.20639
5.29417e-09,5.88002
5.36423e-09,5.55626
5.45882e-09,5.18262
5.58651e-09,4.79652
5.75889e-09,4.43145
5.9916e-09,4.10835
6e-09,4.09922
6.31416e-09,3.84073
6.73829e-09,3.65644
7e-09,3.59891
7.57257e-09,3.5397
8e-09,3.5399
9e-09,3.60401
1e-08,3.69942
1.19018e-08,3.65122
1.44692e-08,3.63483
1.79352e-08,3.62396
2.26143e-08,3.61614
2.76143e-08,3.6115
3.26143e-08,3.60881
3.76143e-08,3.60718
4.26143e-08,3.60615
4.33333e-08,3.60601
4.83333e-08,3.60539
5.33333e-08,3.60496
5.83333e-08,3.60466
6.33333e-08,3.60443
6.83333e-08,3.60426
7.33333e-08,3.60414
7.66667e-08,3.60406
8.16667e-08,3.60398
8.66667e-08,3.60391
9.16667e-08,3.60386
9.66667e-08,3.60381
1.01667e-07,3.60378
1.06667e-07,3.60375
1.1e-07,3.60373
1.11e-07,3.44031
1.12e-07,3.30685
1.125e-07,3.26312
1.13e-07,3.26944
1.13228e-07,3.30533
1.13535e-07,3.40732
1.13743e-07,3.53197
1.13871e-07,3.64336
1.14e-07,3.78514
1.14117e-07,3.94804
1.14275e-07,4.22994
1.14382e-07,4.4858
1.14526e-07,4.9402
1.14721e-07,5.88341
1.14852e-07,6.47653
1.14926e-07,6.55029
1.15e-07,6.37702
1.15135e-07,6.35643
1.15317e-07,6.35122
1.15563e-07,6.346
1.15896e-07,6.33943
1.16344e-07,6.3312
1.1695e-07,6.32114
1.17767e-07,6.30914
1.18871e-07,6.29522
1.2e-07,6.28286

