"x","y"
0,0
0,1.58318e-08
0,1.58318e-08
1e-10,1.58318e-08
2.35e-10,1.58318e-08
4.1725e-10,1.58318e-08
6.63288e-10,1.58318e-08
9.95438e-10,1.58318e-08
1.44384e-09,1.58318e-08
2.04919e-09,1.58318e-08
2.8664e-09,1.58318e-08
3.96964e-09,1.58318e-08
5e-09,1.58318e-08
6e-09,0.00192437
7e-09,0.00566097
8e-09,0.0111527
9e-09,0.0183819
1e-08,0.0273706
1.24604e-08,0.0483727
1.57819e-08,0.076064
2.02659e-08,0.113442
2.52659e-08,0.155567
3.02659e-08,0.198133
3.52659e-08,0.241084
4.02659e-08,0.284364
4.33333e-08,0.311104
4.83333e-08,0.354803
5.33333e-08,0.398693
5.83333e-08,0.442727
6.33333e-08,0.486858
6.83333e-08,0.531038
7.33333e-08,0.575228
7.66667e-08,0.604726
8.16667e-08,0.648811
8.66667e-08,0.69281
9.16667e-08,0.736667
9.66667e-08,0.780315
1.01667e-07,0.823726
1.06667e-07,0.866895
1.1e-07,0.895591
1.11e-07,0.90148
1.12e-07,0.904647
1.13e-07,0.905097
1.14e-07,0.902835
1.15e-07,0.897874
1.1746e-07,0.885811
1.2e-07,0.873477

