"x","y"
0,0
0,0.00240572
0,0.00240641
1e-10,0.00240641
2.35e-10,0.00240641
4.1725e-10,0.00240641
6.63288e-10,0.00240641
9.95438e-10,0.00240641
1.44384e-09,0.00240641
2.04919e-09,0.00240641
2.8664e-09,0.00240641
3.96964e-09,0.00240641
5e-09,0.00240641
5.0625e-09,0.0540534
5.14688e-09,0.217794
5.17535e-09,0.285268
5.21379e-09,0.398102
5.23974e-09,0.485003
5.27478e-09,0.621966
5.29842e-09,0.724255
5.31438e-09,0.797947
5.33593e-09,0.905628
5.36502e-09,1.06637
5.38466e-09,1.18264
5.41116e-09,1.35334
5.42906e-09,1.47558
5.44113e-09,1.56142
5.45744e-09,1.68307
5.46844e-09,1.76823
5.4833e-09,1.88841
5.50336e-09,2.06021
5.5169e-09,2.18088
5.53518e-09,2.35155
5.55985e-09,2.59667
5.59316e-09,2.95539
5.61565e-09,3.21084
5.646e-09,3.57782
5.68698e-09,4.11467
5.7423e-09,4.91898
5.81699e-09,6.20137
5.91781e-09,6.21096
6e-09,6.20711
6.18375e-09,6.2096
6.43181e-09,6.21374
6.7667e-09,6.22042
7e-09,6.22527
7.30516e-09,6.23053
7.51115e-09,6.23202
7.78923e-09,6.2291
8e-09,6.22204
8.2534e-09,6.20794
8.59549e-09,6.18011
9e-09,6.13571
9.62346e-09,6.04588
1e-08,5.98057
1.08417e-08,5.98018
1.19779e-08,5.98069
1.35119e-08,5.98117
1.55827e-08,5.98159
1.83784e-08,5.98195
2e-08,5.9821
2.37741e-08,5.98231
2.87741e-08,5.98246
3e-08,5.98249
3.5e-08,5.98256
4e-08,5.98261
4.5e-08,5.98264
5e-08,5.98265
5.5e-08,5.98267
6e-08,5.98268
6.5e-08,5.98268
7e-08,5.98269
7.5e-08,5.98269
8e-08,5.9827
8.5e-08,5.9827
9e-08,5.9827
9.5e-08,5.9827
1e-07,5.9827
1.05e-07,5.98271
1.1e-07,5.98271
1.11e-07,6.13925
1.115e-07,6.19322
1.1175e-07,6.21303
1.12e-07,6.22753
1.12228e-07,6.23568
1.12535e-07,6.23917
1.12743e-07,6.23765
1.13e-07,6.23335
1.13378e-07,6.22543
1.13889e-07,6.21605
1.14e-07,6.21454
1.1469e-07,6.21573
1.15e-07,6.16049
1.15931e-07,6.1583
1.17188e-07,6.15709
1.18884e-07,6.15586
1.2e-07,6.15518

