"x","y"
0,0
0,0.00104419
0,0.00104422
1e-10,0.00104422
2.35e-10,0.00104422
4.1725e-10,0.00104422
6.63288e-10,0.00104422
9.95438e-10,0.00104422
1.44384e-09,0.00104422
2.04919e-09,0.00104422
2.8664e-09,0.00104422
3.96964e-09,0.00104422
5e-09,0.00104422
5.03125e-09,0.177501
5.0418e-09,0.258189
5.05604e-09,0.405381
5.06565e-09,0.523627
5.07862e-09,0.718319
5.08738e-09,0.867353
5.09033e-09,0.919932
5.09432e-09,0.99463
5.09971e-09,1.10233
5.10698e-09,1.26063
5.1168e-09,1.4987
5.12343e-09,1.67173
5.13237e-09,1.92686
5.14445e-09,2.3128
5.16076e-09,2.91643
5.18277e-09,3.8863
5.21248e-09,5.4936
5.2526e-09,6.17663
5.30676e-09,5.91511
5.37987e-09,5.71197
5.47857e-09,5.47501
5.61181e-09,5.17295
5.79169e-09,4.81529
6e-09,4.48926
6.16392e-09,4.29132
6.3852e-09,4.08155
6.68394e-09,3.8769
7e-09,3.73167
7.54445e-09,3.58794
8e-09,3.53532
8.99225e-09,3.52381
9e-09,3.52402
1e-08,3.58352
1.18084e-08,3.54417
1.42497e-08,3.53458
1.75455e-08,3.52917
2e-08,3.52663
2.5e-08,3.52398
3e-08,3.52255
3.5e-08,3.52173
4e-08,3.52123
4.5e-08,3.52092
5e-08,3.52072
5.5e-08,3.52057
6e-08,3.52047
6.5e-08,3.52039
7e-08,3.52034
7.5e-08,3.52029
8e-08,3.52025
8.5e-08,3.52022
9e-08,3.5202
9.5e-08,3.52018
1e-07,3.52017
1.05e-07,3.52016
1.1e-07,3.52015
1.11e-07,3.40226
1.115e-07,3.36845
1.12e-07,3.36496
1.12456e-07,3.40602
1.12728e-07,3.46323
1.13e-07,3.55382
1.13248e-07,3.67544
1.13415e-07,3.78609
1.13528e-07,3.87612
1.13681e-07,4.01553
1.13784e-07,4.12662
1.13923e-07,4.2972
1.14e-07,4.40702
1.14188e-07,4.7164
1.14441e-07,5.2592
1.14783e-07,6.09843
1.14837e-07,6.17857
1.14911e-07,6.22254
1.15e-07,6.07826
1.15133e-07,6.06406
1.15314e-07,6.05982
1.15557e-07,6.05547
1.15885e-07,6.05002
1.16328e-07,6.04321
1.16926e-07,6.0349
1.17734e-07,6.025
1.18824e-07,6.01344
1.2e-07,6.0026

