"x","y"
0,0
0,0.00106302
0,0.00106303
1e-10,0.00106303
2.35e-10,0.00106303
4.1725e-10,0.00106303
6.63288e-10,0.00106303
9.95438e-10,0.00106303
1.44384e-09,0.00106303
2.04919e-09,0.00106303
2.8664e-09,0.00106303
3.96964e-09,0.00106303
5e-09,0.00106303
6e-09,0.00343932
7e-09,0.00818658
8e-09,0.0153157
9e-09,0.0248431
1e-08,0.0367904
1.24604e-08,0.0663497
1.57819e-08,0.106677
2e-08,0.158572
2.5e-08,0.221039
3e-08,0.2845
3.5e-08,0.348908
4e-08,0.414221
4.5e-08,0.4804
5e-08,0.54741
5.5e-08,0.615223
6e-08,0.683819
6.5e-08,0.753181
7e-08,0.8233
7.5e-08,0.894166
8e-08,0.965763
8.5e-08,1.03807
9e-08,1.11106
9.5e-08,1.18472
1e-07,1.25902
1.05e-07,1.33395
1.1e-07,1.40951
1.11e-07,1.42165
1.12e-07,1.43077
1.13e-07,1.43685
1.14e-07,1.43988
1.15e-07,1.43988
1.1746e-07,1.43988
1.2e-07,1.43988

