"x","y"
0,0
0,0.0010616
0,0.00106161
1e-10,0.00106161
2.35e-10,0.00106161
4.1725e-10,0.00106161
6.63288e-10,0.00106161
9.95438e-10,0.00106161
1.44384e-09,0.00106161
2.04919e-09,0.00106161
2.8664e-09,0.00106161
3.96964e-09,0.00106161
5e-09,0.00106161
5.0625e-09,0.0529574
5.10469e-09,0.111387
5.16164e-09,0.234342
5.20008e-09,0.339228
5.25198e-09,0.522007
5.28701e-09,0.66633
5.31066e-09,0.773865
5.32662e-09,0.851267
5.34817e-09,0.964258
5.37726e-09,1.13275
5.39689e-09,1.25453
5.41015e-09,1.34047
5.42804e-09,1.4629
5.4522e-09,1.6401
5.4848e-09,1.90186
5.50682e-09,2.09057
5.53653e-09,2.36629
5.57665e-09,2.77602
5.6308e-09,3.39941
5.70391e-09,4.38317
5.80261e-09,6.05762
5.81094e-09,6.21038
5.81656e-09,6.31217
5.82036e-09,6.32505
5.82292e-09,6.28992
5.82638e-09,6.20703
5.83104e-09,6.13439
5.83735e-09,6.11418
5.84585e-09,6.14275
5.85734e-09,6.177
5.87284e-09,6.18006
5.89377e-09,6.17462
5.92203e-09,6.17388
5.96017e-09,6.17414
6e-09,6.17413
6.06952e-09,6.17397
6.16337e-09,6.17354
6.29007e-09,6.17231
6.46112e-09,6.16885
6.69203e-09,6.15964
7e-09,6.13783
7.42084e-09,6.09165
7.98897e-09,6.00675
8e-09,6.00478
8.76698e-09,5.8641
9e-09,5.81766
1e-08,5.61067
1.13978e-08,5.60974
1.32849e-08,5.61003
1.58324e-08,5.61026
1.92715e-08,5.61044
2e-08,5.61047
2.46429e-08,5.61058
2.96429e-08,5.61064
3e-08,5.61065
3.5e-08,5.61068
4e-08,5.6107
4.5e-08,5.61071
5e-08,5.61072
5.5e-08,5.61073
6e-08,5.61073
6.5e-08,5.61073
7e-08,5.61073
7.5e-08,5.61074
8e-08,5.61074
8.5e-08,5.61074
9e-08,5.61074
9.5e-08,5.61074
1e-07,5.61074
1.05e-07,5.61074
1.1e-07,5.61074
1.11e-07,5.81843
1.12e-07,6.0072
1.13e-07,6.14173
1.135e-07,6.17279
1.14e-07,6.18017
1.14911e-07,6.2085
1.15e-07,6.18856
1.1623e-07,6.1721
1.17891e-07,6.15473
1.2e-07,6.13544

