"x","y"
0,0
0,0.00103646
0,0.00103649
1e-10,0.00103649
2.35e-10,0.00103649
4.1725e-10,0.00103649
6.63288e-10,0.00103649
9.95438e-10,0.00103649
1.44384e-09,0.00103649
2.04919e-09,0.00103649
2.8664e-09,0.00103649
3.96964e-09,0.00103649
5e-09,0.00103649
5.0625e-09,0.156708
5.10469e-09,0.336383
5.11893e-09,0.40672
5.13815e-09,0.51859
5.1641e-09,0.701919
5.17285e-09,0.76821
5.17877e-09,0.814847
5.18276e-09,0.847196
5.18814e-09,0.892388
5.19542e-09,0.956198
5.20523e-09,1.04754
5.21849e-09,1.18062
5.22743e-09,1.27536
5.23951e-09,1.41185
5.25582e-09,1.61222
5.26682e-09,1.75574
5.28168e-09,1.96389
5.29171e-09,2.11187
5.30525e-09,2.32462
5.32352e-09,2.63721
5.3482e-09,3.10482
5.38151e-09,3.81956
5.42648e-09,4.94513
5.45684e-09,5.80208
5.46708e-09,6.11548
5.47054e-09,6.22459
5.47287e-09,6.29849
5.47602e-09,6.36962
5.47815e-09,6.37706
5.48102e-09,6.29968
5.4849e-09,6.19074
5.49013e-09,6.13171
5.49719e-09,6.13977
5.50673e-09,6.17489
5.5196e-09,6.1861
5.53698e-09,6.18051
5.56045e-09,6.17585
5.59212e-09,6.17125
5.63488e-09,6.16333
5.69261e-09,6.14953
5.77054e-09,6.12575
5.87575e-09,6.0857
6e-09,6.02918
6.19174e-09,5.92877
6.4506e-09,5.77966
6.80005e-09,5.57343
7e-09,5.45772
7.47176e-09,5.19693
8e-09,4.92991
8.42989e-09,4.73719
9e-09,4.51555
9.78348e-09,4.26838
1e-08,4.21098
1.10577e-08,4.19878
1.24856e-08,4.1986
1.44133e-08,4.19868
1.70156e-08,4.19874
2e-08,4.19878
2.47428e-08,4.19882
2.97428e-08,4.19883
3e-08,4.19883
3.5e-08,4.19884
4e-08,4.19885
4.5e-08,4.19885
5e-08,4.19885
5.5e-08,4.19885
6e-08,4.19885
6.5e-08,4.19885
7e-08,4.19885
7.5e-08,4.19885
8e-08,4.19885
8.5e-08,4.19885
9e-08,4.19885
9.5e-08,4.19885
1e-07,4.19885
1.05e-07,4.19885
1.1e-07,4.19885
1.105e-07,4.32877
1.11e-07,4.49602
1.11456e-07,4.6734
1.12e-07,4.9182
1.1283e-07,5.35656
1.13e-07,5.45394
1.135e-07,5.75063
1.1375e-07,5.89814
1.14e-07,6.03281
1.14228e-07,6.12982
1.14382e-07,6.17253
1.14589e-07,6.19528
1.14729e-07,6.19577
1.14918e-07,6.2001
1.15e-07,6.15732
1.15255e-07,6.15069
1.156e-07,6.14675
1.16066e-07,6.14186
1.16694e-07,6.13565
1.17542e-07,6.12782
1.18687e-07,6.11807
1.2e-07,6.10774

