"x","y"
0,0
0,0.00103646
0,0.00103649
1e-10,0.00103649
2.35e-10,0.00103649
4.1725e-10,0.00103649
6.63288e-10,0.00103649
9.95438e-10,0.00103649
1.44384e-09,0.00103649
2.04919e-09,0.00103649
2.8664e-09,0.00103649
3.96964e-09,0.00103649
5e-09,0.00103649
5.03125e-09,0.135302
5.05234e-09,0.287928
5.06658e-09,0.42112
5.0858e-09,0.658113
5.09229e-09,0.745954
5.09667e-09,0.808646
5.10258e-09,0.899283
5.11056e-09,1.03287
5.11595e-09,1.12865
5.12322e-09,1.26792
5.13304e-09,1.47474
5.13967e-09,1.62392
5.14414e-09,1.72913
5.15018e-09,1.87901
5.15833e-09,2.0961
5.16934e-09,2.41769
5.18419e-09,2.90816
5.20425e-09,3.66948
5.23133e-09,4.89214
5.24961e-09,5.8236
5.25578e-09,6.16159
5.25994e-09,6.32616
5.26275e-09,6.33878
5.26654e-09,6.25282
5.27167e-09,6.14495
5.27858e-09,6.05323
5.28792e-09,6.0203
5.30052e-09,6.02852
5.31753e-09,6.00906
5.3405e-09,5.96254
5.37151e-09,5.90407
5.41337e-09,5.82421
5.46988e-09,5.71369
5.54618e-09,5.565
5.64917e-09,5.37033
5.78821e-09,5.12249
5.97591e-09,4.82381
6e-09,4.79006
6.1267e-09,4.61946
6.29775e-09,4.42156
6.52866e-09,4.20466
6.84039e-09,3.98239
7e-09,3.89533
7.42084e-09,3.7161
7.98897e-09,3.57171
8e-09,3.56978
8.76698e-09,3.4807
9e-09,3.46975
1e-08,3.45916
1.13978e-08,3.41954
1.32849e-08,3.41227
1.58324e-08,3.40961
1.92715e-08,3.40804
2e-08,3.40777
2.46429e-08,3.40692
2.96429e-08,3.40645
3e-08,3.40642
3.5e-08,3.40617
4e-08,3.40603
4.5e-08,3.40594
5e-08,3.40588
5.5e-08,3.40583
6e-08,3.4058
6.5e-08,3.40578
7e-08,3.40576
7.5e-08,3.40574
8e-08,3.40573
8.5e-08,3.40572
9e-08,3.40572
9.5e-08,3.40571
1e-07,3.4057
1.05e-07,3.4057
1.1e-07,3.4057
1.11e-07,3.35362
1.115e-07,3.36966
1.12e-07,3.42804
1.12456e-07,3.53482
1.12728e-07,3.6356
1.13e-07,3.76964
1.13124e-07,3.84662
1.13291e-07,3.96349
1.13404e-07,4.05476
1.13557e-07,4.19305
1.13763e-07,4.41548
1.14e-07,4.73644
1.14375e-07,5.39515
1.14629e-07,5.90608
1.148e-07,6.16752
1.149e-07,6.20437
1.15e-07,6.07901
1.15182e-07,6.06773
1.15429e-07,6.0647
1.15761e-07,6.06147
1.1621e-07,6.05738
1.16816e-07,6.05224
1.17635e-07,6.04586
1.18739e-07,6.03809
1.2e-07,6.0301

