"x","y"
0,0
0,0.00103646
0,0.00103649
1e-10,0.00103649
2.35e-10,0.00103649
4.1725e-10,0.00103649
6.63288e-10,0.00103649
9.95438e-10,0.00103649
1.44384e-09,0.00103649
2.04919e-09,0.00103649
2.8664e-09,0.00103649
3.96964e-09,0.00103649
5e-09,0.00103649
5.125e-09,0.204986
5.16719e-09,0.29975
5.19566e-09,0.375773
5.23411e-09,0.500714
5.28601e-09,0.712473
5.32104e-09,0.87737
5.34468e-09,0.99917
5.36064e-09,1.08635
5.38219e-09,1.21276
5.39674e-09,1.30248
5.41637e-09,1.4312
5.44288e-09,1.61923
5.46077e-09,1.75344
5.47285e-09,1.84748
5.48916e-09,1.9803
5.51117e-09,2.17062
5.54088e-09,2.44876
5.581e-09,2.86553
5.63515e-09,3.49958
5.70826e-09,4.49624
5.80696e-09,6.0868
5.87359e-09,6.19355
5.96353e-09,6.18675
6e-09,6.18641
6.12142e-09,6.1866
6.28533e-09,6.18582
6.50662e-09,6.18204
6.80536e-09,6.16951
7e-09,6.15589
7.40329e-09,6.115
7.94774e-09,6.03817
8e-09,6.0296
8.735e-09,5.89993
9e-09,5.84924
9.49613e-09,5.75228
1e-08,5.65285
1.09042e-08,5.65229
1.21249e-08,5.65256
1.37727e-08,5.6528
1.59974e-08,5.65301
1.90007e-08,5.65317
2e-08,5.65322
2.40544e-08,5.65333
2.90544e-08,5.6534
3e-08,5.65341
3.5e-08,5.65344
4e-08,5.65346
4.5e-08,5.65348
5e-08,5.65348
5.5e-08,5.65349
6e-08,5.65349
6.5e-08,5.6535
7e-08,5.6535
7.5e-08,5.6535
8e-08,5.6535
8.5e-08,5.6535
9e-08,5.65351
9.5e-08,5.65351
1e-07,5.65351
1.05e-07,5.65351
1.1e-07,5.65351
1.11e-07,5.85053
1.12e-07,6.03233
1.125e-07,6.10601
1.13e-07,6.15985
1.13228e-07,6.17575
1.13535e-07,6.18831
1.13951e-07,6.19257
1.14e-07,6.19253
1.14561e-07,6.19338
1.15e-07,6.12821
1.16022e-07,6.11835
1.16711e-07,6.11268
1.17642e-07,6.10544
1.18899e-07,6.09627
1.2e-07,6.08861

