"x","y"
0,0
0,0.00103647
0,0.00103649
1e-10,0.00103649
2.35e-10,0.00103649
4.1725e-10,0.00103649
6.63288e-10,0.00103649
9.95438e-10,0.00103649
1.44384e-09,0.00103649
2.04919e-09,0.00103649
2.8664e-09,0.00103649
3.96964e-09,0.00103649
5e-09,0.00103649
5.125e-09,0.204919
5.16719e-09,0.299661
5.19566e-09,0.375668
5.23411e-09,0.500587
5.28601e-09,0.712316
5.30352e-09,0.789761
5.32717e-09,0.904011
5.35909e-09,1.07649
5.38064e-09,1.20219
5.39518e-09,1.29143
5.41482e-09,1.4195
5.44133e-09,1.60661
5.45922e-09,1.74019
5.4713e-09,1.83379
5.4876e-09,1.966
5.50961e-09,2.15546
5.53933e-09,2.43235
5.57944e-09,2.84743
5.6336e-09,3.47923
5.70671e-09,4.47271
5.80541e-09,6.06554
5.81374e-09,6.21274
5.81936e-09,6.29276
5.82315e-09,6.30272
5.82828e-09,6.23887
5.83519e-09,6.17152
5.84453e-09,6.15549
5.85713e-09,6.17528
5.87414e-09,6.18729
5.89711e-09,6.18648
5.92812e-09,6.18553
5.96998e-09,6.18561
6e-09,6.18568
6.07629e-09,6.18569
6.17928e-09,6.18543
6.31833e-09,6.18432
6.50603e-09,6.18071
6.75943e-09,6.17049
7e-09,6.15411
7.46182e-09,6.10558
8e-09,6.02705
8.84168e-09,5.87622
9e-09,5.84555
9.5e-09,5.74737
1e-08,5.64825
1.09112e-08,5.64762
1.21414e-08,5.64779
1.38022e-08,5.64794
1.60442e-08,5.64805
1.90709e-08,5.64814
2e-08,5.64816
2.40861e-08,5.64821
2.90861e-08,5.64824
3e-08,5.64824
3.5e-08,5.64826
4e-08,5.64827
4.5e-08,5.64827
5e-08,5.64827
5.5e-08,5.64828
6e-08,5.64828
6.5e-08,5.64828
7e-08,5.64828
7.5e-08,5.64828
8e-08,5.64828
8.5e-08,5.64828
9e-08,5.64828
9.5e-08,5.64828
1e-07,5.64828
1.05e-07,5.64828
1.1e-07,5.64828
1.105e-07,5.74717
1.11e-07,5.84597
1.11911e-07,6.01364
1.12e-07,6.02814
1.125e-07,6.10226
1.13e-07,6.1563
1.13456e-07,6.18267
1.13728e-07,6.1884
1.14e-07,6.18952
1.14496e-07,6.19003
1.14748e-07,6.1967
1.15e-07,6.15466
1.15459e-07,6.14922
1.16079e-07,6.14369
1.16916e-07,6.13659
1.18046e-07,6.12753
1.19571e-07,6.11607
1.2e-07,6.1129

